YEAR,COUNTY,NUMBER_OF_ED_VISITS,AGE_ADJUSTED_ED_VISIT_RATE,AGE
2019,Kern,2391,50.852,adult
2019,Kern,1748,75.90434782608695,child
2019,Kings,342,30.700000000000003,adult
2019,Kings,345,78.8,child
2019,Lake,361,101.225,adult
2019,Lake,84,90.03333333333335,child
2019,Lassen,62,35.4,adult
2019,Los Angeles,29298,36.346692607003895,adult
2019,Los Angeles,16841,70.59004524886878,child
2019,Madera,330,27.666666666666668,adult
2019,Madera,426,95.67999999999999,child
2019,Marin,335,22.59,adult
2019,Marin,133,43.271428571428565,child
2019,Mariposa,36,42.1,adult
2019,Mendocino,318,59.35,adult
2019,Mendocino,87,88.55,child
2019,Merced,944,47.025,adult
2019,Merced,696,94.02000000000001,child
2019,Modoc,45,138.0,adult
2019,Mono,29,39.3,adult
2019,Mono,18,92.4,child
2019,Monterey,902,30.52857142857143,adult
2019,Monterey,629,64.86666666666666,child
2019,Napa,310,37.06666666666667,adult
2019,Napa,135,49.96666666666667,child
2019,Nevada,146,24.0,adult
2019,Nevada,39,53.05,child
2019,Orange,5077,20.810666666666666,adult
2019,Orange,2959,43.0625,child
2019,Placer,636,24.763636363636362,adult
2019,Placer,306,44.51111111111111,child
